codigo eusan;nombre cliente;nombre del producto;nombre del estante;codigo de barras
4-1-0-5769;C C INVERSIONES AGROINDUSTRIALES S.A;Frijoles Mi Choza Negro 700g;;19904
4-1-0-6223;C C INVERSIONES AGROINDUSTRIALES S.A;Frijol Negro El Angel 700g;;22043
4-1-0-6224;C C INVERSIONES AGROINDUSTRIALES S.A;Frijol Rojo El Angel 700g;;22044
4-26-0-7815;C C INVERSIONES AGROINDUSTRIALES S.A;Frijoles Pronutre Rojo 800g;;28356
6-0-0-4129;CAFÉ DE ALTURA DE SAN RAMÓN ESPECIAL SA;Bobina 500g mate ;;12566
2-1-0-2555;CAFÉ DE ALTURA DE SAN RAMÓN ESPECIAL SA;BOLSA PARA PAQUETES DE 3 KG ;;17572
2-1-0-2556;CAFÉ DE ALTURA DE SAN RAMÓN ESPECIAL SA;BOLSA BULTOS DE 500G/ PAQ DE 20KG;;20981
6-23-0-6358;CAFÉ DE ALTURA DE SAN RAMÓN ESPECIAL SA;prueba estructura;;22606
6-23-0-6472;CAFÉ DE ALTURA DE SAN RAMÓN ESPECIAL SA;Bobina 500g mate ;;23219
2-1-0-2557;CAFÉ DE ALTURA DE SAN RAMÓN ESPECIAL SA;BOLSA BULTOS DE 250G/ PAQUETES DE 20KG;;28408
6-16-0-3394;CAFE EL REY S.A;CafÃ© Rey Tradicional Verde 250g;;11934
6-23-0-2616;CAFE EL REY S.A;CafÃ© Rey Verde 500g F.Plano sello lateral;;11935
6-23-0-3533;CAFE EL REY S.A;CafÃ© Rey Verde 250g F. Plano sello lateral ;;11936
6-23-0-3518;CAFE EL REY S.A;CafÃ© Rey Rojo 250g F.Plano sello lateral ;;11937
6-23-0-3723;CAFE EL REY S.A;Cafe Rey SÃ¡nchez ClÃ¡sico 500g;;11938
6-23-0-2954;CAFE EL REY S.A;CafÃ© Rey Selecto 500g;;11939
6-23-0-3364;CAFE EL REY S.A;Cafe Rey Selecto 1 kilo.;;11940
6-23-0-4056;CAFE EL REY S.A;CafÃ© Rey SÃ¡nchez ClÃ¡sico 1 kilo;;12148
6-16-0-3311;CAFE EL REY S.A;CafÃ© Rey 100% Puro 250g;;12358
6-16-0-4109;CAFE EL REY S.A;Bolsa Room Service;;12452
6-23-0-3924;CAFE EL REY S.A;CAFE REY PERCOLADOR F.PLANO;;12807
6-16-0-3480;CAFE EL REY S.A;CafÃ©  Rey Tradicional  Rojo 125g;;12810
6-23-0-3532;CAFE EL REY S.A;CafÃ© Rey Rojo 500g F.Plano sello lateral;;12818
6-23-0-4180;CAFE EL REY S.A;CafÃ© Rey Premium Oscuro 400g;;12856
6-23-0-4264;CAFE EL REY S.A;CafÃ© Rey SÃ¡nchez ClÃ¡sico 250G;;13367
6-16-0-2717;CAFE EL REY S.A;CafÃ© Rey Tradicional Verde 500g;;13416
6-16-0-3535;CAFE EL REY S.A;CafÃ© Rey Tradicional Rojo 500g;;13417
6-16-0-3823;CAFE EL REY S.A;CafÃ© Rey Tradicional verde 125g;;13427
6-16-0-3309;CAFE EL REY S.A;CafÃ© Chandito 200g ;;13447
6-16-0-2583;CAFE EL REY S.A;CafÃ© Saso 200g;;13448
6-23-0-3934;CAFE EL REY S.A;Bolsa CafÃ© Rey 1 kilo;;13549
6-16-0-4638;CAFE EL REY S.A;CafÃ© SÃ¡nchez 57g 2 0z;;14815
6-23-0-4977;CAFE EL REY S.A;CafÃ© Rey SÃ¡nchez Reserva 340g;;16033
6-23-0-3490;CAFE EL REY S.A;Cafe Rey Selecto 250g;;16274
6-11-0-5029;CAFE EL REY S.A;Crema Rey No LÃ¡ctea 170g;;16289
6-16-0-3536;CAFE EL REY S.A;CafÃ© Rey Tradicional Rojo 250g;;16403
6-23-0-3870;CAFE EL REY S.A;CafÃ© Rey SÃ¡nchez Profesional 340g;;16408
2-1-0-5054;CAFE EL REY S.A;Bolsa trans 15.5 cm x 55 cm;;16460
6-23-0-5076;CAFE EL REY S.A;CafÃ© Rey SÃ¡nchez Profesional 340g;;16599
6-16-0-3873;CAFE EL REY S.A;CafÃ© Rey Percolador Almohadilla 500g;;16818
6-23-0-5137;CAFE EL REY S.A;CafÃ© Rey Selecto 125g;;16832
6-16-0-3644;CAFE EL REY S.A;CafÃ© Rey 100% Puro 500g;;16938
6-11-0-5449;CAFE EL REY S.A;Crema Rey No LÃ¡ctea 180g;;18383
6-39-0-5461;CAFE EL REY S.A;Bolsa CafÃ© Rey Los Santos 340g MOLIDO;;18407
6-39-0-5466;CAFE EL REY S.A;Bobina CafÃ© Rey Los Santos 340g MOLIDO;;18409
6-23-0-5500;CAFE EL REY S.A;CafÃ© Rey Selecto 575g (15% mas);;18756
6-23-0-5503;CAFE EL REY S.A;CafÃ© Sanchez 600g (20% mas);;18769
6-23-0-5502;CAFE EL REY S.A;CafÃ© Sanchez 300g (20% mas);;18768
6-23-0-5501;CAFE EL REY S.A;CafÃ© Rey Selecto 288g (15% mas);;18777
6-23-0-5643;CAFE EL REY S.A;CafÃ© Rey Espresso Molido 340g;;19452
6-16-0-5713;CAFE EL REY S.A;Bolsa cafe Especial cafeterias 1 kilo Puro( maquila);;19651
6-23-0-5716;CAFE EL REY S.A;CafÃ© Sanchez Los Santos 340g;;19754
6-23-0-5714;CAFE EL REY S.A;CafÃ© Sanchez Tres Rios 340g;;19755
6-23-0-5741;CAFE EL REY S.A;PRUEBA CAFE 1 KILO MATE;;19873
6-23-0-5816;CAFE EL REY S.A;Maquila SÃ¡nchez Profesional 340g;;20086
6-23-0-5939;CAFE EL REY S.A;Bobina Metalizada Mate sin impresion;;20660
6-23-0-5937;CAFE EL REY S.A;CafÃ© Signature Blend 1 kilo;;20661
6-23-0-5938;CAFE EL REY S.A;CafÃ© Ãrabico Rojo 1 kilo ;;20662
6-23-0-5936;CAFE EL REY S.A;CafÃ© Master Blend 1 kilo;;20663
6-23-0-6006;CAFE EL REY S.A;Bobina CafÃ© Rey 1 kilo rojo;;20965
6-16-0-6026;CAFE EL REY S.A;CafÃ© Rey Tradicional Verde 250g;;21034
6-16-0-6028;CAFE EL REY S.A;CafÃ© Rey Tradicional Rojo 250g;;21042
6-23-0-6057;CAFE EL REY S.A;CafÃ© Rey Rojo 500g F.Plano sello lateral;;21173
6-23-0-6056;CAFE EL REY S.A;CafÃ© Rey Rojo 250g F.Plano sello lateral ;;21174
6-23-0-6055;CAFE EL REY S.A;CafÃ© Rey Verde 500g F.Plano sello lateral;;21175
6-23-0-6054;CAFE EL REY S.A;CafÃ© Rey Verde 250g F. Plano sello lateral ;;21176
6-16-0-6053;CAFE EL REY S.A;CafÃ© Chandito 200g ;;21177
6-16-0-6060;CAFE EL REY S.A;CafÃ© Saso 200g;;21218
6-16-0-6459;CAFE EL REY S.A;CafÃ© Rey Tradicional verde 125g;;23286
6-16-0-6519;CAFE EL REY S.A;CafÃ© Chandito 200g ;;23300
6-16-0-6520;CAFE EL REY S.A;CafÃ© Saso 200g;;23301
6-16-0-6558;CAFE EL REY S.A;CafÃ© Saso 190g;;23430
6-16-0-6559;CAFE EL REY S.A;CafÃ© Chandito 190g;;23431
6-23-0-6690;CAFE EL REY S.A;Bobina CafÃ© Rey 1 kilo rojo;;24172
6-23-0-6769;CAFE EL REY S.A;CafÃ© Sanchez Naranjo 340g;;24511
6-23-0-6740;CAFE EL REY S.A;CafÃ© Rey Rojo 250g F.Plano sello lateral ;;24386
6-23-0-6741;CAFE EL REY S.A;CafÃ© Rey Verde 500g F.Plano sello lateral;;24387
6-23-0-6742;CAFE EL REY S.A;CafÃ© Rey Rojo 500g F.Plano sello lateral;;24388
6-39-0-6768;CAFE EL REY S.A;Bobina CafÃ© Rey Los Santos 340g MOLIDO;;24502
6-16-0-6793;CAFE EL REY S.A;CafÃ© Chandito 200g ;;24567
6-16-0-6792;CAFE EL REY S.A;CafÃ© Rey Tradicional Verde 250g;;24568
6-16-0-6790;CAFE EL REY S.A;CafÃ© Rey Tradicional Rojo 250g;;24569
6-23-0-6791;CAFE EL REY S.A;CafÃ© Rey SÃ¡nchez ClÃ¡sico 1 kilo;;24570
6-23-0-6789;CAFE EL REY S.A;CafÃ© Rey Selecto 575g (15% mas);;24571
6-23-0-6881;CAFE EL REY S.A;CafÃ© Sanchez 300g (20% mas);;24853
6-23-0-6880;CAFE EL REY S.A;CafÃ© Rey Selecto 288g (15% mas);;24854
6-16-0-6882;CAFE EL REY S.A;EMP245 CafÃ© Rey Tradicional verde 200g;;24945
6-23-0-6929;CAFE EL REY S.A;EMP 246 CafÃ© Rey Tradicional Rojo 800g;;25116
6-16-0-6949;CAFE EL REY S.A;CafÃ© Saso 190g;;25143
6-23-0-7038;CAFE EL REY S.A;Cafe Rey Selecto 1 kilo.;;25642
6-16-0-7178;CAFE EL REY S.A;EMP. 248 CAFÉ REY TRADICIONAL ROJO 480G;;26207
6-16-0-7179;CAFE EL REY S.A;EMP.249 CAFÉ REY TRADICIONAL ROJO 240G;;26208
6-16-0-7180;CAFE EL REY S.A;EMP.250 CAFÉ REY TRADICIONAL VERDE 480G;;26213
6-16-0-7181;CAFE EL REY S.A;EMP.251 CAFÉ REY TRADICIONAL VERDE 240G;;26215
6-23-0-7182;CAFE EL REY S.A;EMP.252 CAFÉ REY SELECTO 250G TORREFACTO;;26216
6-23-0-7183;CAFE EL REY S.A;EMP.CAFE REY SELECTO 500G TORREFACTO;;26217
6-23-0-7208;CAFE EL REY S.A;EMP190 CafÃ© Rey Verde 250g F. Plano sello lateral ;;26239
6-16-0-7212;CAFE EL REY S.A;EMP245 CafÃ© Rey Tradicional verde 200g;;26250
6-16-0-7214;CAFE EL REY S.A;EMP176 CafÃ© Rey Tradicional verde 125g;;26252
6-23-0-7327;CAFE EL REY S.A;CafÃ© Sanchez Los Santos 340g;;27047
6-23-0-7300;CAFE EL REY S.A;CafÃ© Sanchez Tres Rios 340g;;27053
6-23-0-7394;CAFE EL REY S.A;EMP205 CAFE REY PERCOLADOR F.PLANO 500g ;;27113
6-23-0-7395;CAFE EL REY S.A;EMP 208 CafÃ© Rey SÃ¡nchez Reserva 340g;;27127
6-23-0-7396;CAFE EL REY S.A;EMP211 Cafe Rey SÃ¡nchez ClÃ¡sico 500g;;27148
6-23-0-7397;CAFE EL REY S.A;EMP218 CafÃ© Rey SÃ¡nchez ClÃ¡sico 250G;;27149
6-16-0-7488;CAFE EL REY S.A;EMP245 CafÃ© Rey Tradicional verde 200g;;27263
6-23-0-7489;CAFE EL REY S.A;CafÃ© Rey Rojo 500g F.Plano sello lateral;;27264
6-23-0-7392;CAFE EL REY S.A;CafÃ© Rey SÃ¡nchez Profesional 340g;;27265
6-16-0-7535;CAFE EL REY S.A;EMP257 CafÃ© Saso 180g;;27553
6-16-0-7572;CAFE EL REY S.A;CafÃ©  Rey Tradicional  Rojo 125g;;27580
6-23-0-7573;CAFE EL REY S.A;CafÃ© Rey Verde 500g F.Plano sello lateral;;27581
6-23-0-7574;CAFE EL REY S.A;EMP 246 CafÃ© Rey Tradicional Rojo 800g;;27583
6-16-0-7575;CAFE EL REY S.A;EMP.250 CAFÉ REY TRADICIONAL VERDE 480G;;27585
6-23-0-7733;CAFE EL REY S.A;EMP 4492 CafÃ© SÃ¡nchez Naranjo 57g;;28129
6-23-0-7732;CAFE EL REY S.A;EMP 4491 CafÃ© SÃ¡nchez Tres RÃ­os 57g;;28130
6-23-0-7734;CAFE EL REY S.A;EMP 4499 CafÃ© SÃ¡nchez Los Santos 57g;;28131
6-23-0-7777;CAFE EL REY S.A;CafÃ© Rey Rojo 250g F.Plano sello lateral ;;28255
6-24-0-7886;CAFE EL REY S.A;EMP 253 CAFE REY SELECTO 500G TORREFACTO LA SELE;;28620
6-24-0-7887;CAFE EL REY S.A; EMP.252 CAFÉ REY SELECTO 250G TORREFACTO LA SELE;;28621
6-23-0-7890;CAFE EL REY S.A;EMP 191 CafÃ© Rey Verde 500g F.Plano sello lateral LA SELE;;28622
6-16-0-7889;CAFE EL REY S.A; EMP243 CafÃ© Rey Tradicional Rojo 200g LA SELE;;28623
6-16-0-7888;CAFE EL REY S.A; EMP245 CafÃ© Rey Tradicional verde 200g LA SELE;;28624
6-23-0-7891;CAFE EL REY S.A;EMP190 CafÃ© Rey Verde 250g F. Plano sello lateral LA SELE;;28638
6-23-0-7892;CAFE EL REY S.A;EMP 189 CafÃ© Rey Rojo 500g F.Plano sello lateral LA SELE;;28639
6-23-0-7893;CAFE EL REY S.A;EMP 188 CafÃ© Rey Rojo 250g F.Plano sello lateral LA SELE;;28640
6-23-0-7576;CAFE VOLIO SOCIEDAD ANONIMA;ME00005 CafÃ© Volio Fundador 1000 (KG);;27579
6-24-0-7603;CAFE VOLIO SOCIEDAD ANONIMA;ME00107 Volio ClÃ¡sico 12x800;;27663
6-45-0-7830;CAFE VOLIO SOCIEDAD ANONIMA;Maquila CafÃ© Volio Tueste Oscuro 340g;;28442
6-24-0-8044;CAFE VOLIO SOCIEDAD ANONIMA;ME 00120 CafÃ© Volio Molido Institucional 900g;;29216
6-13-0-2530;CAMINOS DEL SOL SA;Bolsa Golden Farms Pineapple Chuncks 4LBS  Fondo Blanco;;12296
6-13-0-1294;CAMINOS DEL SOL SA;Bolsa Sedanos 2 LB sello K;;14722
6-13-0-5597;CAMINOS DEL SOL SA;BOLSA CAMPO VERDE PINEAPPLE SPEAR 71G;;19175
6-38-0-4023;CARGILL DE HONDURAS S DE R.L;BOLSA DE GATI POLLO 3 KG;;11976
6-38-0-4012;CARGILL DE HONDURAS S DE R.L;BOLSA PRUEBA LAMINADA  ASCAN ADULT0 1 K;;11977
6-38-0-4011;CARGILL DE HONDURAS S DE R.L;BOLSA LAMINADA MIMADOS 2K;;11978
6-38-0-4024;CARGILL DE HONDURAS S DE R.L;BOLSA ASCAN ADULTOS 4 KG;;11979
6-38-0-4135;CARGILL DE HONDURAS S DE R.L;BOLSA DE GATI POLLO 3 KG;;12543
6-38-0-4134;CARGILL DE HONDURAS S DE R.L;BOLSA ASCAN ADULTOS 4 KG;;12544
6-11-0-4132;CARGILL DE HONDURAS S DE R.L;Bobina para maquina automatica de GATI GATITOS de 0.4 KG ;;12547
4-1-0-7359;CARGILL DE NICARAGUA S.A.;BO DC HÃGADO 8.5X6IN ALT 1 COD 330014779 PRUEBA INDUSTRIAL ;;27076
2-1-0-7378;CARGILL DE NICARAGUA S.A.;BO TT 433 PIEZA 13 IQF 14X26IN ALT 1 cod  330014778;;27259
2-1-0-7374;CARGILL DE NICARAGUA S.A.;BO LISA TRANSP 6X10X0.006 IN ALT 1 cod 330014775;;27260
2-1-0-7369;CARGILL DE NICARAGUA S.A.;BO LISA CDM 22.5X15X0.0028IN ALT 1 cÃ³d. 330014776 prueba industrial;;27261
4-1-0-7364;CARGILL DE NICARAGUA S.A.;BO DC TITIL 7.88X6IN ALT 1 COD 330014780 prueba industrial;;27262
4-1-0-7950;CARGILL DE NICARAGUA S.A.;BO KBY PEBD ALA IMP 16.5X24.5 CM //350024814;;28861
4-1-0-4181;CARNES ZAMORA S.A;BOLSA  PE BD IMPRESA 43 X 30    ;;12747
6-12-0-4198;CARNES ZAMORA S.A;BOLSA CARNE DE CERDO ZAMORA 10 X 12;;12869
6-12-0-4253;CARNES ZAMORA S.A;Prueba bolsa laminada 9 x 24 pulgadas x 4.5;;13335
6-12-0-4254;CARNES ZAMORA S.A;Prueba bolsa 9 x 24 x 3 carnes zamora;;13336
2-1-0-4453;CARNES ZAMORA S.A;BOLSA LISA 10 X 12 X 4.5;;14025
2-1-0-4454;CARNES ZAMORA S.A;BOLSA LISA 10 X 12 X 4.5;;14030
6-1-0-4455;CARNES ZAMORA S.A;BOLSA CARNE DE CERDO ZAMORA 10 X 12;;14362
2-1-0-4529;CARNES ZAMORA S.A;Bolsa 9 x 21 pulg  sin logo  x 4.5;;14371
2-1-0-4530;CARNES ZAMORA S.A;Bolsa 9 x 24 pulg x 4.5;;14379
4-1-0-4532;CARNES ZAMORA S.A;BOLSA IMPRESA CARNES ZAMORA 10X12 P;;14385
4-1-0-4537;CARNES ZAMORA S.A;BOLSA  9 X 21 P IMP  PARA HUESO;;14489
2-1-0-4477;CARNES ZAMORA S.A;BOLSA  PE BD IMPRESA   22.5 +8+8 X 28 ;;14490
4-1-0-4538;CARNES ZAMORA S.A;BOLSA 9 X 24 P IMP PARA HUESO;;14491
2-1-0-4730;CARNES ZAMORA S.A;BOLSA LISA 10 X 16;;15216
4-1-0-4729;CARNES ZAMORA S.A;BO PE IMPRESA 17 X 25;;15221
2-49-0-5067;CARNES ZAMORA S.A;BOLSA 10x12  X 45 especial nov 2022;;16546
2-49-0-5068;CARNES ZAMORA S.A;BOLSA 10X12 X114 ESPECIAL NV 2022;;16547
2-49-0-5069;CARNES ZAMORA S.A;BOLSA 9X 21 X 114 ESPECIAL NV 2022;;16548
2-49-0-5070;CARNES ZAMORA S.A;BOLSA 9 X 24 X 114 ESPECIAL NOV 2022;;16549
2-49-0-5071;CARNES ZAMORA S.A;BOLSA 16 X 20 X114 ESPECIAL NOV 2022;;16550
6-12-0-5138;CARNES ZAMORA S.A;Bolsa 16 x 20 diciembre.;;16825
6-26-0-5139;CARNES ZAMORA S.A;BOLSA 12 X 18 X 2.5 DELGADA;;16826
2-49-0-5165;CARNES ZAMORA S.A;BOLSA 9 X 24 X 114 ESPECIAL NOV 2022;;16884
6-12-0-5216;CARNES ZAMORA S.A;BOLSA  TRANSPARENTE LISA  PT PE  10 X 12  ENE 2023;;17381
2-12-0-5282;CARNES ZAMORA S.A;BOLSA TRANS LISA  10 X 12 PT  PE  DELGADA ENERO 2023;;17623
6-12-0-5324;CARNES ZAMORA S.A;BOLSA TRANSP LISA PT PE 9 X 24 FEBRERO 2023;;17844
6-12-0-5837;CARNES ZAMORA S.A;BOLSA TRANSP LISA PT PE 9 X 24 FEBRERO 2023;;20211
2-49-0-6005;CARNES ZAMORA S.A;BOLSA 9 X 24 X 114 ESPECIAL NOV 2022;;21045
2-49-0-6184;CARNES ZAMORA S.A;BOLSA 12 X 18 X 114 ESPECIAL NOV 2023;;21776
2-1-0-7277;CARNES ZAMORA S.A;BOLSA  PE BD IMPRESA 43 X 30    ;;26599
2-1-0-7278;CARNES ZAMORA S.A;BOLSA  PE BD IMPRESA   22.5 +8+8 X 28 ;;26602
2-1-0-7279;CARNES ZAMORA S.A;BO PE IMPRESA 17 X 25;;26603
2-1-0-7779;CARNES ZAMORA S.A;BOLSA  PE BD IMPRESA   22.5 +8+8 X 28 ;;28295
2-1-0-7780;CARNES ZAMORA S.A;BOLSA  PE BD IMPRESA 43 X 30    ;;28312
2-1-0-7999;CARNES ZAMORA S.A;BO PE  17 X 25 PLANTA Y VENTANITAS;;29002
2-1-0-8000;CARNES ZAMORA S.A;BOLSA  PE BD PLANTA EXPORTACION 43 X 30    ;;29003
2-1-0-8001;CARNES ZAMORA S.A;BOLSA  PE BD PLANTA ,EXPORTACION  22.5 +8+8 X 28 ;;29004
6-12-0-4028;CARVIR TRADING, S.A;Bolsa GenÃ©rica Ocean Deli;;12016
4-1-0-4960;CEMVA SM AGROINDUSTRIAL SOCIEDAD ANONIMA;Bolsa para Empacar Yuca La Blandita 4 Libras;;16014
4-1-0-6722;CEMVA SM AGROINDUSTRIAL SOCIEDAD ANONIMA;Bolsa Yuca en Trozos Titan 4 Libras;;24326
6-12-0-7190;CENTRAL DE MARISCOS CEMAR SOCIEDAD ANONIMA;Bolsa Generica Para Mariscos Peko Fish (Doypack Sello K C/Zipper);;26247
6-0-0-3258;CENTRAL VETERINARIA S.A;DOG WHISPERER TRAINING TREATS CHIKEN/ COD 01-03-0459;;11875
6-0-0-3256;CENTRAL VETERINARIA S.A;DOG WHISPERER  TRAINING TREATS SALMON/ COD 01-03-0458;;11876
6-0-0-3254;CENTRAL VETERINARIA S.A;DOG WHISPERER JERKY BITES BEEF/ COD 01-03-0455;;11877
6-12-0-3255;CENTRAL VETERINARIA S.A;DOG WHISPERER JERKY BITES CHIKEN/ COD 01-03-0454;;11879
6-0-0-3253;CENTRAL VETERINARIA S.A;DOG WHISPERER JERKY STICKS BEEF / COD 01-03-0453;;11880
6-12-0-3252;CENTRAL VETERINARIA S.A;DOG WHISPERER JERKY STICKS CHIKEN/ COD 01-03-0452;;11881
6-0-0-3250;CENTRAL VETERINARIA S.A;DOG WHISPERER PRIME CUTS/ COD 01-03-0451;;11882
6-0-0-3251;CENTRAL VETERINARIA S.A;DOG WHISPERER BAC N SIZZLERD/ COD 01-03-0450;;12015
6-0-0-4031;CENTRAL VETERINARIA S.A;DOY PACK KIND REWARDS PRIME CUTS 20OZ/ 01-03-0385;;12022
6-38-0-4032;CENTRAL VETERINARIA S.A;BOBINA SUPER PERRO BBQ 5 KG/ COD 01-03-0183;;12023
6-38-0-4033;CENTRAL VETERINARIA S.A;BOBINA SUPER PERRO CLASICO 5 KG/ COD 01-03-0218;;12024
6-38-0-4034;CENTRAL VETERINARIA S.A;BOBINA SP CACHORRO 5KG/ 01-03-0170;;12025
6-0-0-3620;CENTRAL VETERINARIA S.A;BOBINA SUPER PERRO CLASICO2 KG/ COD01-03-01-0136;;12053
6-12-0-3257;CENTRAL VETERINARIA S.A;DOG WHISPERER TRAINING TREATS BACON/ COD 01-03-0457;;12287
6-0-0-3259;CENTRAL VETERINARIA S.A;DOG WHISPERER TRAINING TREATS PEANUT BUTTER/ COD 01-03-0456;;12288
6-0-0-4097;CENTRAL VETERINARIA S.A;BOBINA TOTAL NUTRICION CORDERO Y ARROZ/ COD 01-03-0320;;12372
6-0-0-4188;CENTRAL VETERINARIA S.A;DOY PACK WHISPERER FILLED BONES PEANUT BETTER/ 01-03-0509;;12785
6-0-0-4186;CENTRAL VETERINARIA S.A;DOY PACK WHISPERER FILLED BONES BACON CHESE /01-03-0508;;12786
6-12-0-4185;CENTRAL VETERINARIA S.A;DOY PACK WHISPERER DENTAL STICKS CHIKEN/ 01-03-0505;;12789
6-0-0-4189;CENTRAL VETERINARIA S.A;DOY PACK DOG WHISPERER DENTAL STICK BEFF / 01-03-0506;;12790
6-0-0-4184;CENTRAL VETERINARIA S.A;DOY PACK WHISPERER DENTAL STICKS FRESH/ 01-03-0504;;12791
6-0-0-4187;CENTRAL VETERINARIA S.A;DOY PACK WHISPERER FILLED BONES CHIKEN/ 01-03-0507;;12792
6-0-0-4170;CENTRAL VETERINARIA S.A;DOY PACK WHISPERER BAKED BISCUIT CHIKEN/ 01-03-0501;;12793
6-0-0-4190;CENTRAL VETERINARIA S.A;DOY PACK DOG WHISPERER BAKET BISCUIT PEANUT BUTTER / 01-03-0502;;12794
6-12-0-4171;CENTRAL VETERINARIA S.A;DOY PACK DOG WISPERER BEKED BISCUIT BEEF/ 01-03-0503;;12795
6-0-0-3160;CENTRAL VETERINARIA S.A;DOY PACK SANTA TREATS KIDS REWARDS;;12917
6-0-0-4256;CENTRAL VETERINARIA S.A;DOY PACK KIND REWARDS MEATY BONES HALLOWEEN 20OZ/ CD 01-03-0526;;13213
6-0-0-4257;CENTRAL VETERINARIA S.A;DOY PACK KIND REWARDS PRIME CUTS HOLLOWEEN 20OZ/ COD 01-03-0527;;13214
6-12-0-4258;CENTRAL VETERINARIA S.A;DOY PACK KIND REWARDS BOC N SIZZLERS HALLOWEEN 20 OZ / COD 01-03-0528;;13215
6-0-0-4275;CENTRAL VETERINARIA S.A;BOBINA TOTAL NUTRICION SALMON 2 KG/ COD 01-03-0324;;13373
6-0-0-4281;CENTRAL VETERINARIA S.A;BOB SUPER PERRO LOVE BITES 5 KG;;13374
6-38-0-4295;CENTRAL VETERINARIA S.A;BOBINA TOTAL NUTRICION PAVO Y AVENA 2 KG/ COD 01-03-0323;;13386
6-38-0-4296;CENTRAL VETERINARIA S.A;BOBINA TOTAL NUTRICION CORDERO Y AVENA 2 KG/ COD 01-03-0322;;13396
6-38-0-4343;CENTRAL VETERINARIA S.A;BOB SUPER PERRO CACHORRO 2 KG/ COD 01-03-0071;;13574
6-0-0-3951;CENTRAL VETERINARIA S.A;BOBINA SUPER PERRO LOVE BITES 2 KG/ COD 01-03-0303;;13795
6-12-0-3007;CENTRAL VETERINARIA S.A;BOLSA BAC N SIZZLERS DOG FOR DOG 20oz;;13822
6-38-0-4401;CENTRAL VETERINARIA S.A;BOBINA PAVO Y ARROZ ADULTO  2 KG/ COD 01-03-0321;;13960
6-38-0-4431;CENTRAL VETERINARIA S.A;BOBINA TOTAL NUTRICION CORDERO Y ARROZ  ADULTO 4 KG/ COD 01-03-0325;;14007
6-12-0-4438;CENTRAL VETERINARIA S.A;prueba ID;;14017
6-12-0-3333;CENTRAL VETERINARIA S.A;Doy Pack Kind Rewards Bacon Sizzlers  20oz (Holiday Blue) 01-03-0471;;14176
6-8-0-4501;CENTRAL VETERINARIA S.A;BOLSA DOY PACK DOG DOR DOG HOLIDAY BAC N SIZZLERS 20 OZ / COD 01-03-0354;;14200
6-38-0-4521;CENTRAL VETERINARIA S.A;BOBINA TN CORDERO Y ARROZ RAZAS PEQ 2 KG/ COD 01-03-0552;;14397
6-38-0-4519;CENTRAL VETERINARIA S.A;BOBINA TN SALMON Y AVENA , ADULTO 4 KG/ COD 01-03-0555;;14399
6-38-0-4520;CENTRAL VETERINARIA S.A;BOBINA TN SALMON Y AVENA 2 KG/ COD 01-03-0554;;14401
6-38-0-4522;CENTRAL VETERINARIA S.A;BOBINA TN CORDERO Y ARROZ RAZAS PEQ 4 KG / COD 01-03-0553;;14402
6-12-0-4662;CENTRAL VETERINARIA S.A;prueba 6 onz doy pack;;14953
6-12-0-4660;CENTRAL VETERINARIA S.A;prueba 12 oz doy pack;;14954
6-12-0-4661;CENTRAL VETERINARIA S.A;prueba 16 oz doy pack;;14955
6-12-0-3855;CENTRAL VETERINARIA S.A;KIND REWARDS BAC N SIZZLERS 20OZ/ COD 01-03-0384;;15084
6-38-0-4754;CENTRAL VETERINARIA S.A;BOBINA SUPER PERRO CLASICO2 KG/ COD01-03-01-0136;;15189
6-38-0-4753;CENTRAL VETERINARIA S.A;BOB SUPER PERRO LOVE BITES 5 KG 01-03-0304;;15190
6-38-0-4752;CENTRAL VETERINARIA S.A;BOBINA SUPER PERRO LOVE BITES 2 KG/ COD 01-03-0303;;15192
6-38-0-4755;CENTRAL VETERINARIA S.A;BOBINA SMALL BITES 1.5 KG/ COD 01-03-0146;;15193
6-38-0-4756;CENTRAL VETERINARIA S.A;BOBINA SUPER PERRO BBQ 2 KG/ COD 01-03-0141;;15194
6-38-0-4747;CENTRAL VETERINARIA S.A;BOBINA SUPER PERRO CLASICO 5 KG/ COD 01-03-0218;;15196
6-38-0-4812;CENTRAL VETERINARIA S.A;BOBINA TOTAL NUTRICION CORDERO Y AVENA 2 KG/ COD 01-03-0322;;15369
6-38-0-4790;CENTRAL VETERINARIA S.A;BOBINA TN CORDERO Y AVENA  (CACHORRO 4 KG)/ COD 01-03-0327;;15366
6-0-0-3385;CENTRAL VETERINARIA S.A;DOY PACK DOG FOR DOG BACON SIZZLERS 50OZ;;15457
6-38-0-4899;CENTRAL VETERINARIA S.A;BOB SUPER PERRO CACHORRO 2 KG/ COD 01-03-0071;;15769
6-38-0-4901;CENTRAL VETERINARIA S.A;BOBINA SP CACHORRO 5KG/ 01-03-0170;;15778
6-38-0-4906;CENTRAL VETERINARIA S.A;BOBINA SUPER PERRO BBQ 5 KG/ COD 01-03-0183;;15779
6-38-0-4897;CENTRAL VETERINARIA S.A;BOBINA TOTAL NUTRICION CORDERO Y ARROZ/ COD 01-03-0320;;15873
6-38-0-4952;CENTRAL VETERINARIA S.A;BOBINA TOTAL NUTRICION CORDERO Y AVENA 2 KG/ CACHORRO COD 01-03-0322;;15955
